Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
EXO,LOVE SHOT– The 5th Album Repackage,Tempo,2-28-2023 20:20:00,2-28-2023,20:20:00,0.237,0.686,0.842,115.944,0.519,-4.423,0,0.1
NCT DREAM,We Go Up,We Go Up,2-28-2023 20:17:00,2-28-2023,20:17:00,0.0138,0.893,0.77,122.067,0.349,-4.692,0,0.107
ITZY,ITz ICY,ICY,2-28-2023 20:14:00,2-28-2023,20:14:00,0.0328,0.8,0.904,124.979,0.806,-2.821,3.17E-05,0.0845
Sai,Apex,Apex,2-28-2023 20:12:00,2-28-2023,20:12:00,0.00946,0.812,0.682,155.06,0.354,-6.274,0.28,0.0531
Jakey,ROMCOM,Pine Barrens,2-28-2023 20:08:00,2-28-2023,20:08:00,0.605,0.59,0.569,93.842,0.53,-8.835,0,0.0637
Seyi Shay,Seyi Or Shay,Crazy,2-28-2023 20:03:00,2-28-2023,20:03:00,0.242,0.693,0.973,126.006,0.971,-0.772,7.22E-05,0.0494
VanJess,Silk Canvas,Cool Off the Rain (Interlude),2-28-2023 20:01:00,2-28-2023,20:01:00,0.325,0.552,0.549,171.924,0.232,-9.502,3.20E-05,0.166
Crystal Tea,그곳에 닿아줘 There There,그곳에 닿아줘 There There,2-28-2023 19:58:00,2-28-2023,19:58:00,2.04E-05,0.304,0.908,179.898,0.596,-3.843,0.00551,0.0748
Silica Gel,Kyo181,Kyo181,2-28-2023 19:54:00,2-28-2023,19:54:00,0.065,0.476,0.569,160.143,0.682,-4.958,0.000114,0.0427
ratwyfe,mushroom melancholia,Impostor Syndrome,2-28-2023 19:52:00,2-28-2023,19:52:00,0.976,0.529,0.158,91.683,0.296,-13.398,6.71E-05,0.0919
Nathy Peluso,Calambre,SANA SANA,2-28-2023 19:49:00,2-28-2023,19:49:00,0.27,0.616,0.733,168.706,0.465,-5.568,0.0132,0.194
Boa,Atlantis Princess - The 3rd Album,Milky Way,2-28-2023 19:45:00,2-28-2023,19:45:00,0.134,0.674,0.947,104.047,0.85,-3.059,0,0.0809
Silica Gel,IMMORTAL,IMMORTAL (feat. sogumm),2-28-2023 19:42:00,2-28-2023,19:42:00,0.0852,0.585,0.338,83.007,0.453,-7.255,1.86E-05,0.0361
Snoh Aalegra,- Ugh those feels again,Find Someone Like You,2-28-2023 19:37:00,2-28-2023,19:37:00,0.763,0.532,0.486,84.803,0.446,-9.724,1.18E-06,0.0472
Crush,나빠,Lookin 4 (feat. Joyce Wrice & Devin Morrison),2-28-2023 19:32:00,2-28-2023,19:32:00,0.626,0.711,0.464,123.782,0.446,-7.458,0,0.304
orion sun,A Collection of Fleeting Moments and Daydreams,Mirage,2-28-2023 19:31:00,2-28-2023,19:31:00,0.87,0.683,0.468,117.095,0.47,-10.058,0.673,0.0743
Joyce Wrice,Overgrown,Thats On You - Japanese Remix,2-28-2023 19:28:00,2-28-2023,19:28:00,0.154,0.597,0.371,140.349,0.39,-7.281,4.41E-06,0.176
Native Sound System,Runaway,Runaway,2-28-2023 19:24:00,2-28-2023,19:24:00,0.213,0.352,0.391,98.577,0.0726,-7.294,0.00611,0.0364
Hoku,Perfect Day Single,Perfect Day,2-28-2023 19:21:00,2-28-2023,19:21:00,0.00441,0.543,0.871,154.528,0.784,-12.565,1.20E-06,0.0536
Hoku,Legally Blonde,Perfect Day - Chris Lord Alge Mix,2-28-2023 19:17:00,2-28-2023,19:17:00,0.0193,0.544,0.918,155.705,0.774,-5.197,0,0.0594
Maroon 5,Songs About Jane: 10th Anniversary Edition,Sunday Morning,2-28-2023 19:13:00,2-28-2023,19:13:00,0.0913,0.608,0.768,88.059,0.809,-5.227,0,0.0475
UMI,Love Language,Love Affair,2-28-2023 19:10:00,2-28-2023,19:10:00,0.129,0.613,0.488,172.076,0.183,-7.37,2.13E-05,0.0964
Shariya Wise,Sis! You A Bad Bitch! 2.0,Sis! You A Bad Bitch! 2.0,2-28-2023 19:08:00,2-28-2023,19:08:00,0.106,0.655,0.451,125.978,0.117,-9.3,1.21E-05,0.212
Chloe x Halle,The Kids Are Alright,Everywhere,2-28-2023 19:05:00,2-28-2023,19:05:00,0.0171,0.713,0.573,123.97,0.534,-6.11,1.47E-06,0.0383
Laufey,Typical Of Me EP,like the movies,2-28-2023 19:02:00,2-28-2023,19:02:00,0.908,0.575,0.274,87.13,0.214,-10.242,8.67E-05,0.035
Faye Webster,Atlanta Millionaires Club,Kingston,2-28-2023 18:59:00,2-28-2023,18:59:00,0.154,0.73,0.355,142.143,0.56,-9.13,0.00155,0.0359
Stacey Ryan,Fall In Love Alone,Fall In Love Alone,2-28-2023 18:55:00,2-28-2023,18:55:00,0.316,0.676,0.625,171.883,0.522,-5.455,0.000119,0.0711
Hoody,Sunshine,Sunshine,2-28-2023 18:52:00,2-28-2023,18:52:00,0.559,0.687,0.749,160.049,0.823,-4.542,1.23E-05,0.108
Zilo,Gorgeous,Into The Sun,2-28-2023 18:49:00,2-28-2023,18:49:00,0.23,0.484,0.69,90.892,0.7,-7.314,0,0.11
Gayathri Krishnan,Create to Express,444,2-28-2023 18:46:00,2-28-2023,18:46:00,0.662,0.457,0.428,109.95,0.321,-9.578,3.75E-06,0.079
Phony Ppl,Yesterdays Tomorrow,Somehow.,2-28-2023 18:42:00,2-28-2023,18:42:00,0.719,0.502,0.399,92.904,0.124,-9.934,0.00363,0.0295
Counting Crows,Accidentally In Love (From Shrek 2 S/T),Accidentally in Love,2-28-2023 18:39:00,2-28-2023,18:39:00,0.044,0.554,0.927,138,0.81,-3.641,3.32E-06,0.0378
Gsoul,Hate Everything,Broken Record,2-28-2023 18:36:00,2-28-2023,18:36:00,0.2,0.703,0.599,104.048,0.851,-7.127,0,0.101
SteeliX,Lay It Down,lay it down,2-28-2023 18:33:00,2-28-2023,18:33:00,0.00463,0.823,0.534,92.954,0.929,-6.218,0.000277,0.0374
Colbie Caillat,All of You,Brighter Than the Sun,2-28-2023 18:28:00,2-28-2023,18:28:00,0.00952,0.629,0.793,95.981,0.588,-5.942,1.15E-06,0.0346
Daniel Caesar,CASE STUDY 01,CYANIDE,2-28-2023 18:25:00,2-28-2023,18:25:00,0.704,0.589,0.652,158.49,0.486,-7.498,0.00055,0.373
DPR IAN,DPR ARCHIVES,zombie pop,2-28-2023 18:23:00,2-28-2023,18:23:00,0.00799,0.686,0.687,90.084,0.88,-7.794,7.33E-05,0.0555
Zedd,Good Thing (with Kehlani),Good Thing (with Kehlani),2-28-2023 18:20:00,2-28-2023,18:20:00,0.399,0.693,0.564,185.913,0.574,-3.857,0,0.0378
Bleachers,Gone Now,Lets Get Married,2-28-2023 18:17:00,2-28-2023,18:17:00,0.00422,0.606,0.698,150.038,0.7,-5.99,1.69E-06,0.0567
Laufey,Street by Street,Street by Street,2-28-2023 18:13:00,2-28-2023,18:13:00,0.87,0.694,0.279,82.068,0.216,-10.871,2.49E-06,0.0546
Clairo,Sling,Amoeba,2-28-2023 18:09:00,2-28-2023,18:09:00,0.791,0.739,0.491,111.008,0.707,-11.515,0.0366,0.027
Laufey,Everything I Know About Love,Falling Behind,2-28-2023 18:06:00,2-28-2023,18:06:00,0.942,0.449,0.353,165.888,0.55,-12.986,0.0786,0.0915
Hope Tala,Girl Eats Sun,Cherries,2-28-2023 18:03:00,2-28-2023,18:03:00,0.0192,0.795,0.693,89.951,0.772,-6.737,0.00125,0.0982
Christian Kuria,Toroka,Toroka,2-28-2023 17:59:00,2-28-2023,17:59:00,0.905,0.641,0.438,67.529,0.343,-7.029,0.000134,0.132
Tems,Found (feat. Brent Faiyaz),Found (feat. Brent Faiyaz),2-28-2023 17:57:00,2-28-2023,17:57:00,0.625,0.821,0.412,109.977,0.333,-7.795,1.64E-05,0.0341
Demi Lovato,Confident,Confident,2-28-2023 17:54:00,2-28-2023,17:54:00,0.00188,0.594,0.749,130.064,0.344,-6.251,0.000139,0.0677
Samm Henshaw,All Good,All Good,2-28-2023 17:52:00,2-28-2023,17:52:00,0.154,0.6,0.83,79.836,0.941,-2.789,0,0.311
Frank Ocean,channel ORANGE,Lost,2-28-2023 17:48:00,2-28-2023,17:48:00,0.0272,0.913,0.603,123.061,0.497,-4.892,0.000503,0.226
beabadoobee,Beatopia,the perfect pair,2-28-2023 17:45:00,2-28-2023,17:45:00,0.433,0.634,0.663,146.053,0.6,-6.818,0.124,0.0331
Hiatus Kaiyote,Mood Valiant,Get Sun (feat. Arthur Verocai),2-28-2023 17:39:00,2-28-2023,17:39:00,0.107,0.33,0.655,90.315,0.495,-6.532,0.000851,0.163
Colde,Your Dog Loves You,Your Dog Loves You (feat. Crush),2-28-2023 17:35:00,2-28-2023,17:35:00,0.928,0.413,0.232,93.661,0.134,-11.87,3.15E-05,0.0371
